artist_name,artist_id,popularity,artist_followers,genres,image
EAV (Erste Allgemeine Verunsicherung),5PHsYIMFyXJsaxa4HjGM4k,47,174081,"['neue deutsche welle', 'schlager', 'schlagerparty']",https://i.scdn.co/image/ab6761610000e5eb339f027cc0b36ac0762126f8
Nicolas de Angelis,1g8D9HrkrXAdoEYRVGU7iO,44,12219,[],https://i.scdn.co/image/ab6761610000e5ebf9e96b18e06e1ee676bc8598
Danny Williams,7A1PWRIpGKFLKGXB5p0jDY,29,5649,['northern soul'],https://i.scdn.co/image/ab67616d0000b27327a36038d07a05e84ca41b38
Altzükütarrak,0Env5qHSKLWUvijMJigMll,5,93,[],https://i.scdn.co/image/ab67616d0000b27365d855a400101ab88fb9bc61
The Ray Miranda Orchestra,4FBIpMIor7ksX2miuLRaEH,20,0,[],https://i.scdn.co/image/ab67616d0000b2736d8486f5e3ea0ca27e759838
Tilahun Gessesse,7dnoPx4TSBzkjY5PcqDjNR,24,13311,['ethiopian jazz'],https://i.scdn.co/image/ab67616d0000b273f8d6e56bdec35429a7d72139
Óscar Medina,3NUe53SAgcR19GtgfSKTpW,52,219065,"['christian', 'pentecostal']",https://i.scdn.co/image/ab6761610000e5eb37f8eaa3607ed2865e7b0274
Parabellum,5Oh154HHjMr6RSYIuO3hMi,29,13336,['punk'],https://i.scdn.co/image/ab67616d0000b2732b2b73a5d4d5badcc1bdf484
Michael Brook,5NTEVDdw1KuWN3cUX3kZ1y,37,18489,"['qawwali', 'sufi']",https://i.scdn.co/image/f42d03bc0009832f3f79ca5aa2f91f8ec85529e6
Benjamin Lew,2q1JNPdA2wqdHcrbWIcHaV,11,2716,['avant-garde'],https://i.scdn.co/image/ab67616d0000b273b5d1c32db31b232a67775307
Frank Boeijen Groep,1HoWbJFK5RdH4OAtpoxbgR,42,55113,['nederpop'],https://i.scdn.co/image/ab67616d0000b27336e6cb9b7dea541a6b66aa13
Sir Colin Davis,0TrG2LSot4KhaXqdf5K2zE,51,13305,"['opera', 'classical', 'requiem', 'orchestra']",https://i.scdn.co/image/ab6761610000e5ebee243800f422e8001f735abd
Deul Guk Hwa,1sgkTCF42JGJUIaBP68n6H,25,24433,"['k-ballad', 'k-rock']",https://i.scdn.co/image/ab67616d0000b273e3c47e6ec391ff1e681857c1
Martinelli,060HjFyNLKYu6Kw2Fx0KTR,17,831,"['italo disco', 'italo dance', 'hi-nrg']",https://i.scdn.co/image/ab67616d0000b27397b8210d25f6a2294ae21c60
Raji,6BIhMqvFyj8nYQrk6EmE0Y,22,5709,"['city pop', 'jazz fusion', 'kayokyoku']",https://i.scdn.co/image/ab67616d0000b273c47e6849c922be73efa4859d
Ami Ozaki,0BPn2k0BoBN6XceavMVCTj,32,30250,"['city pop', 'kayokyoku', 'j-pop']",https://i.scdn.co/image/ab6761610000e5eb375661837c5bdfcc31f07e77
André Cymone,4Q4CRlCreilk0EN0myk5Jh,11,18824,['post-disco'],https://i.scdn.co/image/b9c4b43b8884692162c8127d419f8f2d48945c37
Майк Науменко,3avRuIMftum0c2CfYWtLNw,6,1566,[],https://i.scdn.co/image/ab67616d0000b273d70a210bb9ca6ba35e192864
The Kane Gang,1S2wZg1HsTZaHGX5Xgw4tL,22,5192,[],https://i.scdn.co/image/ab67616d0000b273683510c36e82c3b6acd13e36
The Firm,4rPZAvpw9ObVO3HFGWSHwt,30,32662,[],https://i.scdn.co/image/10fcb8f667ff35352d3bea69eaf7bb462cae5732
Frederick the Great,1N2S1tQEsMdR4eu1GqVjPc,26,1204,[],https://i.scdn.co/image/ab67616d0000b273c6b978422dbde248c395117a
Lone Justice,2OFpmma3V9yxT5XXgytGns,24,11974,"['alt country', 'country rock', 'roots rock']",https://i.scdn.co/image/ab6772690000c46c71031cc21869b86118d852c8
Tobias Hume,1z5IeyRbd7iLgu1fpxFRLe,30,1685,[],https://i.scdn.co/image/ab67616d0000b27308a00a28d1d5912c7f2f9fdf
Owen Paul,6QFQXcv37yM1goEIlj0hC8,25,2492,[],https://i.scdn.co/image/ab6761610000e5eb3cd427b4ab8596fa6038879a
BULLDOZER,5MpDavMM8Kg4oKwrGmccdy,24,14154,"['speed metal', 'thrash metal', 'black metal']",https://i.scdn.co/image/ab67616d0000b2733637a3b9ab980e44def2a535
Mango,5iBphIrmXEjfrqiuz5y6pY,49,126930,"['italian singer-songwriter', 'singer-songwriter']",https://i.scdn.co/image/ab6761610000e5eb4f4448ddeedd810c8b61a1cb
Marco Armani,0D4q7geEPzF0aCzYs1elDu,26,3509,[],https://i.scdn.co/image/ab6761610000e5eb28106f1cd10ea88a25b249d9
Destruction,5d6KI8frPEo3qGsIL8Sak2,38,291508,"['thrash metal', 'speed metal', 'groove metal', 'metal', 'heavy metal']",https://i.scdn.co/image/ab6761610000e5eb0c9fb589f1020710e2ff2033
Café Moulu,1hWo8Pq4XfdD5NmU4t7tKJ,2,35,[],https://i.scdn.co/image/ab67616d0000b2733e9976c16929b52ace02b6f3
Justin Hayward,1C4kZs9XyNnm9HWFng6ZFH,37,48474,[],https://i.scdn.co/image/d961830d4ae6227d3aac5d279463ee8a590df4a6
Orlando Vera Cruz,37u2QUmBNw4I8SYy75mzfn,34,11242,['folklore argentino'],https://i.scdn.co/image/ab6761610000e5ebb2acd9ca2e91d8648fc5d8ee
Yvonne Chaka Chaka,27JX5L90Wv4SBk4FJZVQcH,34,99748,"['rhumba', 'afropop', 'afro soul']",https://i.scdn.co/image/ab6761610000e5eb2c66acc8a5968ac5b464a0e4
Sabine Paturel,64D8YMzfGb4llp6g7x9SyQ,21,2612,"['variété française', 'chanson']",https://i.scdn.co/image/ab6761610000e5ebd366c6b4b68643ddd570b5d6
Schoolly D,63NXL9k1RkJYcQ5MkUETLL,25,88274,"['east coast hip hop', 'gangster rap']",https://i.scdn.co/image/ab6761610000e5eb011a6cbf9358d09dd12945dd
