artist_name,artist_id
Lynda Lemay,6rVJyC8TepqtRRPeEFZfi0
Mouloudji,4pZgpCHvAI14ug9dSfxTjp
Aaron Neville,57ALvbCBaCkNlgTOSiUPdT
Laurent Garnier,3y1SoTOdrmRNTBVph5T0VZ
Nightwish,2NPduAUeLVsfIauhRwuft1
R. Kelly,2mxe0TnaNL039ysAj51xPQ
Millencolin,74xFFXkvOq9dPDigOWTHiX
Kittie,0ImEDe9tW5n4pxHOK39zIc
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
Octave One,0CRfAs5qmkRgw9x9etNGqH
Mylène Farmer,0e04xgVBPU6mE2QkSHlufD
Manau,6k68jYvlUy3CXOwhG1NDBL
La Ruda Salska,5wLQgAe9uO150K07T2MYvl
Gérard Blanchard,4H7TAfnu6t6Olh3zxowpSH
Green Day,7oPftvlwr6VrsViSDV7fJY
Ludacris,3ipn9JLAPI5GUEo4y4jcoi
B.O.S.S.,3RB7qIo0lX4uR9dBVAAEku
Eels,3zunDAtRDg7kflREzWAhxl
Oasis,2DaxqgrOhkeH0fpeiQq2f4
Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz
Étienne Daho,5aDKJuLDczfmHfRSOmHCJk
VaVa,309eMzBSqbIxMyd6W9zUpI
Laura Pausini,2e4nwiX8ZCU09LGLOpeqTH
Jean-Jacques Goldman,2Cx19OTMqa6gpz2l60cGG2
Youssou N'Dour,77zlytAFjPFjUKda8TNIDY
Guru,6xyaria4AcxjRuJZLkWvMW
La Oreja de Van Gogh,4U7lXyKdSf1JbM1aXvsodC
Mister Gang,0g9joi70vEh2c7i9U141ao
Greyboy,4vMKAb6dOcNt1b5ocMdBCm
Les Ogres De Barback,3avSMklPuyXhcT5Smt1h7G
Sheikh Saud Al Shuraim,0voktX4WMWToR8netUjBBr
Bébé Berceuse,6e487QE9bIyIpSqnxTc6IL
Capone-N-Noreaga,6KVPfr3ujUkKOrJf4QeRWD
Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve
Baha Men,67FFKYikvTlvsPNk4NPOYJ
Alain Bashung,6y1aZyP40077De3neGJD2b
Compay Segundo,2wpr4ILskkRzPBGodmbMs1
Yusuf / Cat Stevens,08F3Y3SctIlsOEmKd6dnH8
Africando,0ffXAvDlWnqwiciaBFek6V
Ja Rule,1J2VVASYAamtQ3Bt8wGgA6
Secret Service,3xmyGL7g6crcLsRy1TNOQU
Francis Cabrel,5uo5NwSONVNfvSHHMQrHAv
Hôtel Costes,0sKvyHIsuZMjaLWyHFX4RV
Tony Deloumeaux,63J6ncUYFbMewHcXQ4gOle
Susumu Yokota,3ND5NWoKzlelYDDyWqSQpQ
Rima,5PyFoT2FygLU3SSfRmqpSC
Idir,73LjFn4z6WTV7MevyPxrRc
