artist_name,artist_id
Arturo Toscanini,4xpgBZSojKNEQqQHXrwSXA
Poppy Rossi,5mhhAdDNhlfr3iHEnIC5tz
Mehmet Kemiksiz,0sI4zKYWrBEDzgI7iW9JFY
Tyree Neal,16BFzhSjtzVlT5DfkaEyTM
Packa Ranks,4XHceIoCNja5B66sj9yi7n
Lil Boy,5wuAjLmgAAB851f8VAm7aw
THE GUY,3mxG61Hl3AF9CWsoLgnx5Y
Yano malo,1kQ3ZHA0V8ITR2d4kJfM5D
Lance Blake,1vrSN7oRrtpdVR3Bu4bvST
Clive-S,2SFlyFwIm36vxf36cC6D3X
Donald Baker,3pMtr86j0K3jtIMx1XMzyP
Yerkes Jazarimba Orchestra,2ZuiX7pns1Tg2WiF0UWzLi
The Newport Society Orchestra,15aef10Mnuq6ni57SKSkuK
Rae Eleanor Ball,6FSQC0wuldOEnS9eRCX1z8
Nathan Glantz' Orchestra,4qGb4IcivCVjvF6DggkeRc
Sherbo's Famous Dance Orchestra,0pcW8J22IBp2RzWrzrMiGN
Charles Foster,1MOFcJpPnD8y4Z07GDcuOm
William Sloane,6wTbG1FfVLMjYoozS2PKcf
Mr. Cat,5WvNQgylxmaVfWJXgMvgXG
Harry Raderman's Jazz Orchestra,77FSII9kuU3IX2xIJrgwbZ
Selvin's Orchestra,4J05QVqTFUDDzjOvWLXhWN
Broadway Dance Orchestra,7EcTnjjOcWSdsXgQA71smW
odihu,22Ma687d2xWxh8z64b5YB4
Joseph C. Smith,6aZzNyOiJy8WDsdOki5ITA
Cuarteto Delta,7pKLdjuUkIEqm0dbwzm8VT
Ernest Hare,3OsEgmcICtL6hPi1IZE8v1
John O'Sullivan,23YUeu7sqaVgGrRruOuqut
Gladys Rice,2piQ39onLdCgFNaKFLzAtq
Charles Harrison,3zNKXE9rI72st0KYupZppq
Eddie Elkins,6ebFSPrb8KednjSin3LEUc
Mary Stafford and her Jazz Band,61lzj4DWCgpiIK8RjHrzQd
Matias Ivan Morales,4npAeiGpVaaxLf4a9F0XoC
Joy Marie Boleda,1HU8sJDnmJVsKmpskMoCBG
Joseph C Smith,3Br42MpAoZbf5DVkmN588E
Helen Clark,6CceKAnBZvYgqy8UcLTztV
Elizabeth Spencer,4f93DLlzgkuhJH8hKrxi3n
Tim Brymn and his Black Devil Orchestra,2pOPJXcJExCtDxsuniVJm8
Dansk Folkesang,6DTk4dVpscGRr6qlCfXNDv
Pablo Duarte,6RYh9rEbbspE2Z9RC5t0H2
Foster C K,41RmUWBLz7NFtflDyIIbde
Vibraty,2TwurBwbYyZFImhSADZ0MD
Orfeón de la Policía de Santiago,3MeUkoJE8tp5ANgoxf3bWq
Flake$,3ia4J6sF18wwVIxQoa0ey9
Tha Homie Jai,6R4COjjAcSlkcgpXyh4qpa
Dino Borgioli,17uF871mxcl0zwSdKGqiSF
Jablak el,0jWmafogtrCIDAFFb6VXUI
EVANGELIRICI PURO SANGUE,2zVKvCq1iQDZZ2ztXukRNE
Jusdave,0gTaz2rAs2ATGHrxMDERSK
Sea man,0fcx3knsAYZmOTVu9sM2uv
Princ3 Goldi3_SplashGod,7cqv9IH2EsRIHQQvYQYukD
Yung Schnooty,0s0nNENqDT4Ro7BjkP3ACC
Lana Tele,4CpMorUPZEb0pEEM9WCxmi
Shirley Spaulding,0qJFp0ctRu2KxnEh38rH6Z
George Wilton Ballard,3gQ4cb9pC2KZQpzxQAHXsx
cade,1UWVJums2p9WNAeDh05jyS
Sodero's Band,3tAcD1iI8zRuvTCs1Mspya
Club De Vingt Orchestra,1ijX4D9o4B4v5hs4hwFwqf
Original Dixieland Jazz Band,0dbAmNeGgwDJmxrNw10hzk
John Finnegan,38v7ZV7bdgjnCLzUmyryU2
GT SPESHY,4F9gd98nOnbDmsE8J7z1hG
Plantation Jazz Orchestra,2nnEhVHr5PuDcQTOLilPrR
Dbeatzlegendary,5rG1c8j76jOtjA20lk5PBR
Enosh Fee,7Kh3oyx682coXIMh5t3E5z
Hector Pellerin,2AE8G1NY89k8HVg3LxYqXG
Les Bohem,2kviiqVxdqH2hDvxKvWKqm
Imperial Marimba Band,6oqrbZ6xuR30Gv1BLEyRza
Nuggifreshbeats,1yXIlI1eS31J69fBJQsSRG
Esther Bigeou,6GqqHdjLXvFillmAK0jbgs
Jeffrey Bryan,7ISUo9paUaz6PGS2JuK6t8
chronomemento,42kF9tXrOWHAj5uFpbIz2Q
Reese Jones,4QKfnFREmSus3Qax5T89zN
Eubie Blake,35Y7WdrKm5TItu5yHOJ69U
Bünyamin Can Polat,1HmCYKL9mrouwvQHB8PuIV
Trishul R. Manoj,7bw3x7pjJxqH5fbkMoZ3Mg
TyroMatt,09Ly7t6jxyjTb4V1VMQoio
Gene Rodemich,3dTonj0M7QBrXT4h18sRqF
Jim Europe's 369th Infantry Hell Fighters Band,4EK1qE5lsSvxMCQFXp9RS6
James Europe's Society Orchestra,1BwtZV10AMLZQQDL7ioVDf
Megan Curtis,4U8mfAPcUIWhybIZAeqAqD
Sartaj Khan,2u1k5DYA4j5KZwSIEw78VA
Lil Bit,1rvI3I6lemgzOWaWT6f7Pl
Allesandre Cardenas,2l8YQRgbXSBmgEaT4iQZPw
Swisha MF Brown,49j2riwQGcq40TPCJz62dl
Qravi,0qJr10ZFK171eItPa2aG6y
Realz the Rebel,4MrzpRzZgcin7CUSuwZeK0
Rafa,3Qgc5YVlHmMowV3k1htBrL
Marlino,41fighP93cmZVcD29bWUvK
Duci de Kerekjarto,6GbVFuk33m6M5C5qKDZHdj
Henryk Pachulski,4ZoSFg2nK7A7yYPOfKotpk
Aileen Stanley,3f6SNayWQJRt9iPDOhndw0
May Peterson,6PRYBQ6ej7PyKpzGc59ya9
Nicholas Orlando's Orchestra,1aQlKznZuJsEzhTsLUPaGV
Bert Harvey,1invqytB9vdH9aTUres4Ky
Metropolitan Dance Orchestra,5V84DoMQCIZD3bx3zp4H4p
Einbergs Erben,3praabhBR9bJnIO9wQx4Et
Titta Ruffo,1mxKmYjGkHPbF67Wb2lwQv
Evelyn Scotney,2aOTFScvdpFas7GKD6DAaj
MostlongRiver,1Z8yFZf16cacNxgVUp1aJB
Walter Scanlan,1RCrH4wSGzttfxKVE9NF1C
Sibyl Sanderson Fagan,7myiHPPVbFPu6U3hxrv7uZ
Homestead Trio,6GBGlMbrgygyTNdCT3poi8
Arzinz,70eHjrbvJWXvQauuB1c9Wo
The Synco Jazz Band,64cr5bzVJ6xVgWuNH6NmqO
Isabelle Patricola,0WZ0SmE2HqcKJEmLB8IeZm
Byron G. Harlan,42nBvukwI9UBCnWTyULDHq
Trakk sessions,15vgoJfRE7q0XcnpluGk2C
Malcontent,5M2ns5Wk4TcJzICVHn0fC9
Boro Slick,6IYfpf3I68XxpTcuMXSbQI
Benno Damerau,7mYe75XIUPr3HUx1EkJ46C
Louise Teunissen,5XNWNpz4vGPoFyzsojSExj
Daniel Records,1PyhMF8wexCTmFrJmMJ8uv
Jigaa J,50UmjnG382deOSDG0LwCKV
Alto Tango Jazz Project,2wBPYIjkUgZ97nHVGsrSL6
Margaret McKee,5CEsqNrHaQeZGKGwSVQWWL
ianlsDJ,7L38scnxKpp4hELyf8Xo0u
Ronald Wayne Thomas Jr,5dErHP5aVkW6uRZbpihNzE
Sezua,18YqR8XEH4TJCQDO1qgbtu
PartyBoy D.S,6PsK0A2nIb5vj4zi32CdYV
heydexter,0PkVFZxDzZZHQQdwV5fxpR
Vil,5AVh2TelBpzmGzRIfdnjBe
GreenBow,1Si9gdffoHWODWntosIq8Q
Yo Trap,1rE9qWlS14lhjwsJYpO1sO
Anastasia Rydlevskaya,2AZK9tbrKzZESi5qbEko2C
Merry Melody Men,2zMzgdsK4GTzA2xiQNxcbu
Gioachino Rossini,0roWUeP7Ac4yK4VN6L2gF4
Schake,20I2G4ox1pWpiOGPOy5RLR
Jack Norworth,64dJLPCX0qspk3MmlraaIe
Hanende İbrahim Efendi,2EcWeOdp8SE6ITKtwwEdyb
OnlyAce,3gr3pe40de8PKWLcjQjmvR
Bloo,3pcVcRZgnkBbgHmIp6nDjW
Jelly Roll Morton,4XepUkisa56DUeA3gbjDQD
Ida Cox,62G2r7t9N2Ad9ILHbg4Eqh
New Orleans Rhythm Kings,4hdk9wzdbUtIY8VRG7ZWYA
Arthur Hall,6dfRlShvOlTkPjyfMcC387
Ted Lewis,2h7jCpFL30Uw8mziW89bGM
Julius Lenzberg's Harmonists,7kX94pENlX8ugtIYd21Qe9
Clara Smith,2It5hXbGPFBNCCJQQr7iHH
Florence Macbeth,58VkKy0URJ0KOpE7QxMT1Z
Rainer Maria Rilke,3Hi358y9qFZBsYQUS5rASJ
USSR,7BLyjmvjebYWkEddm2wtu9
Jazzbo Carolina Serenaders,3T7jB10VC3C0yplaUS6EFA
Clemens Krauss,0BD0yexvRf2lNmTwda3DvU
Original Memphis Five,1Dafc7CQhXIJYKg1ipcfzE
Paul Whiteman,1mZm40boQmdGKicfbNkd0r
Glenn Miller Orchestra,6N1ycRllcq7fwHMdeTQD1z
Ernest L. Stevens,3FJq72aQXODC3dKvAgn97P
Alexandre Barberon,3QM2mdtMBgMIkVjW9ODpC2
Albert Chevalier,3nOAFevc7IMqcF31h7HADX
The Golden Gate Orchestra,6uKJ0yzw5W37GS3JeM1R4S
Uli,45tIt06XoI0Iio4LBEVpls
Bailey's Lucky Seven,3GO3XJPgy0QpyCfba7hz2D
Majestic Dance Orchestra,0klYeMqrWjn3y81An1LszJ
The Virginians,4KizAjLkDX4teaQmIbXfK5
Harry Raderman's Orchestra,5vcjCFL9kJCXY3rnGwNXt4
Lucille Hegamin,1N1SCONSCFKYFv9boD0CEa
Ray Perkins,60GATuzJaRIq0IP3Mvp1Zr
Ines Talamo,3v03O0omhIftA2fgvsal6n
Hermes,5hf7cCusfKJ4aohdwp3qaj
Jim Chapman,0DhFxctImIYNNSEHuLQi5U
Leir Verling,1KcT3I7ejQgUHN6UHH7yJX
Walter Van Brunt,7Gut8bFvhA84qTm0KaVIFT
Abby Boy,1iUrwP4rauzWYIYxFcYJ9Z
The Nationalism,1iklJ2ZJK0zGs1OU3A25wy
Bennie Krueger's Orchestra,607UiKUZ6YokiNaejl1G2K
Criterion Quartet,1hVQGTeel6c3RwrXzHhPtN
Margaret Hellar,5gOJC4qxcHdc2rDAvU2SPm
Red Nichols,0lKHVrznMIh4noTdNQJ1qw
Julius Lenzberg,73EU2nPeYoxkINYc6JuDku
Carl Fenton,5gcxTbbCvzQcH2MCrLcYXN
Markel's Orchestra,4nKUmKbgofLtIqcCFruDwW
Mary Straine and Joseph Smith's Jazz Band,7qvuIrldaqUoKJINE4gN5d
Atlantic Dance Orchestra,4vvttgB55o5ekjShD7aZCk
The California Ramblers,5JMTBwFIdSpyCKpik3nEeG
Art Hickman,1SZPb21CqKLS09V1cLk1C1
The Virginians,7wOqb78rLO2lPDqaXL4SYh
Bernice De Pasquali,16RGLVVvidbn1NQ3hFXbXv
Lil lerk,3le4eVdXqlTPBupKHqHNxh
Edith Wilson & Johnny Dunn's Original Jazz Hounds,6HIhqkqwJXg6OeC0IqO8Ku
Paul Specht and his Orchestra,3da9ym0R5yNt8qcbNBUTWW
Franz Fedor Alexandros,7aFE2T8wEVfoLNgjTtUKab
Billy Murray,7k8b9KwXEScnxxeVPLXOIS
Loren McMurray's California Thumpers,1c0s2tWRc5z7P1uCYk385A
Ladd's Black Aces,0MgzhgWwaiQilUYHaM2yIb
Peerless Quartet,0TWBb3TF4txOdiUqpzv2wS
Internet Pornography,5hQjqf9hFbizbvGQ8w5HdN
Velvetone Dance Orchestra,7bykjtlrM4935gUhVfBNlJ
Ribelli Cromati,2nj7Ra3rB6oFUeHuVKXpKV
Johnny Dunn,5Op56YQ6hQFpdXtluwnLd8
Maria Jeritza,4UKmsqTsatj9cSgPvw4g9W
The David Joseph Apocadelia,0JvZYSWoY9RdoNseupME58
Aureliano Pertile,7rHvzuptHPPzAcRPUH7vdu
mmv2005,4jEmJc95ZyDL3BJjBuTrtT
MC SEU PAI ME QUER PELADO,1nMqqGJrqZxIv3rRUq3140
Edward M. Favor,6dJes2mlWk4V4mVqfbUQCh
Feodor Chaliapin,1A6JXyIYY4ZhWxdLTLt3kR
Coon-Sanders Novelty Orchestra,5xsgnC9GIqNRZRA7y3T9na
Ed Gallagher & Al Shean,1dusbc3alb2V9lx4kEY4f0
Al Jolson,197mLk2Z62k4tvGxDL1pOa
Benson Orchestra,7rROzWMsGjAsK1c7jItqcS
Isham Jones Orchestra,2vJNoEnE6BXNQZ6gOhjlDA
Waikiki Hawaiian Orchestra,6nT1dPqNAVSh8FMOKullmk
Ryunosuke Akutagawa,48JVTmVtbLYnRtFeEO9gUk
Ernest Pike,4Gpu0zFR5mgqXM4rbhecw2
Johnny Dunn,1Duy8DS1ceSi2ufJXxOwJg
Walter B. Rogers,3suY6L5tiTU3fcLeq3hDQN
Edith Wilson and Johnny Dunn's Original Jazz Hounds,1jO2mjEDIZwYMCzIudpJma
Friars Society Orchestra,7wO9pPhumo2fu1ID0peDTS
Lanin's Southern Serenaders,51UpbOXvsPijHSBaOy50Sq
cire 2,24CBPSDdo8wyBvxYFzNo3J
Szabó Balázs,5SHSKpI9bpGVrw1SsfwSpU
Lucelia chavito,7oWFLaPrfjHoUU01Mj7S8m
Nina De Charny,1r9b0wbMejDBJd2XFnFBcl
Flonzaley Quartet,14pkyj79gCehLIJET5fVdH
blackz147,6L26ukrdcWXGtiTFqHMkdI
Schnooty Records,0SCX9i3yaWbrARfkGt5R2z
Gustav Holst,5B7uXBeLc2TkR5Jk23qKIZ
Ernest L. Stevens' Trio,2gG2AIXODHb82WqIc76xH3
Andrea Paci,2SR6ieyS6zeKRGpNvDYh9r
