année,rang,artiste,titre,id_spotify
1996,50,AKHENATON,BAD BOYS DE MARSEILLE,no id
1996,51,DONNA LEWIS,I LOVE YOU ALWAYS FOR EVER,no id
1996,52,LARRY MULLEN & ADAM CLAYTON,MISSION : IMPOSSIBLE (B.O.F.),no id
1996,53,GENERATION DISCO,GENERATION DISCO,no id
1996,54,WORLDS APART,EVERLASTING LOVE,no id
1996,55,JOAN OSBORNE,ONE OF US,no id
1996,56,G SQUAD,RAIDE DINGUE DE TOI,no id
1996,57,ALANIS,IRONIC,no id
1996,58,GEORGE MICHAEL,A JESUS TO A CHILD,no id
1996,59,MARIAH CAREY & BOYZ II MEN,ONE SWEET DAY,no id
1996,60,OPHELIE WINTER,SHAME ON U,no id
1996,61,NENEY CHERRY,WOMAN,no id
1996,62,PETER KITSCH & OLIVIA STARRING,ABC POUR CASSER,no id
1996,63,MYLENE FARMER,CALIFORNIA,no id
1996,64,CELINE DION,BECAUSE YOU LOVED ME (B.O.F.),no id
1996,65,ZUCCHERO,FEELS LIKE A WOMAN,no id
1996,66,TINA TURNER,"GOLDEN EYE (EXTRAI DE LA B.O.F. ""JAMES BOND 007"")",no id
1996,67,MYLENE FARMER,L'INSTANT X,no id
1996,68,PARADISIO,BAILANDO,no id
1996,69,SCORPIONS,YOU AND I,no id
1996,70,JAMIROQUAI,VIRTUAL INSANITY,no id
1996,71,ALABINA,ALABINA,no id
1996,72,MICHAEL JACKSON,EARTH SONG,no id
1996,73,BACKSTREET BOYS,GET DOWN,no id
1996,74,MEPHISTO,VOICES,no id
1996,75,LES SCHTROUMPFS,MOI J'AIME DANSER (B.O.F.),no id
1996,76,QUEEN,YOU DON'T FOOL ME,no id
1996,77,2 PAC,CALIFORNIA LOVE,no id
1996,78,FLORENT PAGNY & LA CHORALE DE SARCELLES,OH HAPPY DAY,no id
1996,79,DANNY BRILLANT,QUAND JE VOIS TES YEUX,no id
1996,80,BIG SOUL,LE BRIO,no id
1996,81,ZUCCHERO,IL VOLO,no id
1996,82,PASCAL OBISPO,PERSONNE,no id
1996,83,MAD IN PARIS,PARIS A LE BLUES,no id
1996,84,DJ DADO,X-FILES,no id
1996,85,NADA SURF,POPULAR,no id
1996,86,WARREN G,WHAT'S LOVE GOT TO DO WITH IT,no id
1996,87,K'S CHOISE,NOT AN ADDICT,no id
1996,88,TONTON DAVID & CHEB MAMI,FUGITIF,no id
1996,89,DOC GYNECO,VIENS VOIR LE DOCTEUR,no id
1996,90,PETER ANDRE,MYSTERIOUS GIRL,no id
1996,91,MR. PRESIDENT,COCO JAMBOO,no id
1996,92,CELINE DION,FALLING INTO YOU,no id
1996,93,N-TRANCE,ELECTRONIC PLEASURE,no id
1996,94,RADIOHEAD,CREEP,no id
1996,95,JANE BIRKIN,LA GADOUE,no id
1996,96,BOYZONE,LOVE ME FOR A REASON,no id
1996,97,CORONA,I DON'T WANNA BE A STAR,no id
1996,98,SEX ALARM,SIREN,no id
1996,99,BOYZONE,FATHER AND SON,no id
1996,100,GUSTO,DISCO' REVENGE,no id
1997,1,ELTON JOHN,SOMETHING ABOUT… - CANDLE IN THE WIND,no id
1997,2,RICKY MARTIN,"MARIA (UN, DOS, TRES)",no id
1997,3,WES,ALANE,no id
1997,4,ANDREA BOCELLI,CON TE PARTIRO,no id
1997,5,AQUA,BARBIE GIRL,no id
1997,6,FLORENT PAGNY,SAVOIR AIMER,no id
1997,7,WILL SMITH,MEN IN BLACK (BOF),no id
1997,8,PUFF DADDY & FAITH EVANS…,I'LL BE MISSING YOU,no id
1997,9,LARA FABIAN,TOUT,no id
1997,10,POETIC LOVER,PRENONS NOTR TEMPS,no id
1997,11,BELLINI,SAMBA DE JANEIRO,no id
1997,12,HANSON,MMMBOP,no id
1997,13,GALA,LET A BOY CRY,no id
1997,14,MADONNA,DON'T CRY FOR ME ARGENTINA,no id
1997,15,DAVID CHARVET,SHOULD I LEAVE,no id
1997,16,NATHALIE CARDONE,HASTA SIEMPRE,no id
1997,17,ALLIAGE & BOYZONE,TE GARDER PRES DE MOI,no id
1997,18,NO DOUBT,DON'T SPEAK,no id
1997,19,FELICIDAD,DAM DAM DEO,no id
1997,20,HERMES HOUSE BAND,I WILL SURVIVE,no id
1997,21,PASCAL OBISPO,LUCIE,no id
1997,22,PHENOMENAL CLUB,IL EST VRAIMENT PHENOMENAL,no id
1997,23,SPICE GIRLS,SPICE UP YOUR LIFE !,no id
1997,24,WORLDS APART,I'M DREAMING OF YOU,no id
1997,25,ERA,AMENO,no id
1997,26,PARADISIO,BAILANDO,no id
1997,27,RICKY MARTIN,"TE EXTRANO, TE OLVIDO, TE AMO",no id
1997,28,2 BE 3,PARTIR UN JOUR,no id
1997,29,TONI BRAXTON,UN BREAK MY HEART,no id
1997,30,2 BE 3,TOUJOURS LA POUR TOI,no id
1997,31,DOMINO,BAILA BAILA,no id
1997,32,ETERNAL,I WANNA BE THE ONLY ONE,no id
1997,33,CELINE DION & BARBARA STREISAND,TELL HIM,no id
1997,34,BEE GEES,ALONE,no id
1997,35,ALLIAGE,BAILA,no id
1997,36,ULTRA NATE,FREE,no id
1997,37,3T,I NEED YOU,no id
1997,38,TOP BOYS,LE FEU CA BRULE,no id
1997,39,NAS & SUPREME N.T.M.,AFFIRMATION ACTION,no id
1997,40,DAFT PUNK,AROUND THE WORLD,no id
1997,41,SPICE GIRLS,2 BECOME 1,no id
1997,42,MELI MELO & MISS HELENE,LA DANCE D'HELENE,no id
1997,43,LA VACHE,MILK INCORPORATED,no id
1997,44,ANGGUN,LA NEIGE AU SAHARA,no id
1997,45,LES MINIKEUMS,MA MELISSA,no id
1997,46,LARA FABIAN,JE T'AIME,no id
1997,47,ALLIAGE,LE TEMPS QUI COURT,no id
1997,48,SHOLA AMA,YOU MIGHT NEED SOMEBODY,no id
1997,49,ALLIAGE,LUCY,no id
1997,50,SASH !,ENCORE UNE FOIS,no id
1997,51,2 BE 3,LA SALSA,no id
1997,52,ANDREA BOCELLI & HELENE SEGARA,VIVO PER LEI,no id
1997,53,WHITE TOWN,YOUR WOMAN,no id
1997,54,G SQUAD,AUCUNE FILLE AU MONDE,no id
1997,55,GALA,FREED FROM DESIRE,no id
1997,56,SASH !,ECUADOR,no id
1997,57,R KELLY,I BELIEVE I CAN FLY,no id
1997,58,RACHID TAHA,YA RAYAH,no id
1997,59,JANET JACKSON,GOT TIL IT'S GONE,no id
1997,60,2 BE 3,POUR ETRE LIBRE (BOF),no id
1997,61,FAITHLESS,INSOMNIA,no id
1997,62,TERI MOISE,JE SERAI LA,no id
1997,63,PATRICIA KAAS,QUAND J'AI PEUR DE TOUT,no id
1997,64,JANE FOSTIN,LA TAILLE DE TON AMOUR,no id
1997,65,THE BRAIDS,BOHEMIAN RHAPSODY,no id
1997,66,MELGROOVE,PAS TOI…,no id
1997,67,SPICE GIRLS,SAY YOU'LL BE THERE,no id
1997,68,IAM,L'EMPIRE DU COTE OBSCUR,no id
1997,69,GLORIA ESTEFAN,YOU'LL BE MINE,no id
1997,70,SPACE FROG,FOLLOW ME,no id
1997,71,MC SOLAAR,LES TEMPS CHANGENT,no id
1997,72,DAFT PUNK,DA FUNK,no id
1997,73,DA HOOL,MEET HER AT THE LOVE PARADE,no id
1997,74,PATRICIA KAAS,LE VOUDRAIS LA CONNAÎTRE,no id
1997,75,EN VOGUE,DON'T LET GO,no id
1997,76,ROBERT MILES,ONE AND ONE,no id
1997,77,DOWN LOW,VISION OF LIFE,no id
1997,78,GRUNGERMAN & ANDREAS DORAU,GIRLS IN LOVE,no id
1997,79,2 BE 3,DONNE,no id
1997,80,TRIBAL JAM,REMIND ME,no id
1997,81,PARADISIO,VAMOS A LA DISCOTECA,no id
1997,82,DALIDA,SALMA YA SALMA,no id
1997,83,BLACKSTREET,DON'T LEAVE ME NOW,no id
1997,84,JOE COCKER,N'OUBLIEZ JAMAIS,no id
1997,85,ALEXIA,UH LA LA LA,no id
1997,86,BACKSTREET BOYS,EVERYBODY,no id
1997,87,ADM,WHEN YOU WANNA MOVE,no id
1997,88,SAVAGE GARDEN,I WANT YOU,no id
1997,89,ALABINA,OLE Y OLA,no id
1997,90,WORLDS APART,DON'T CHANGE,no id
1997,91,BOYZONE,"A PICTURE OF YOU, MR BEAN (BOF)",no id
1997,92,DIVERS,11 MN 30 CONTRE LES LOIS RACISTES,no id
1997,93,NOIR DESIR,L'HOMME PRESSE,no id
1997,94,CELINE DION,IT'S ALL COMING BACK TO ME,no id
1997,95,LES CHEVALIERS DU FIEL,JE TE PRENDRAI NUE DANS LA SIMCA 1000,no id
1997,96,OMC,HOW BIZARRE,no id
1997,97,BBE,FLASH,no id
1997,98,THE VERVE,BITTER SWEET SYMPHONY,no id
1997,99,POETIC LOVER,QU'IL EN SOIT AINSI,no id
1997,100,BLACKSTREET,NON DIGGITY,no id
1998,1,LAVOIE DANIEL & GAROU & FIORI,BELLE,no id
1998,2,MANAU,LA TRIBU DE DANA,no id
1998,3,DION CELINE,MY HEART WILL GO ON,no id
1998,4,NOMADS,YAKALELO,no id
1998,5,BRANDY & MONICA,THE BOY IS MINE,no id
1998,6,BOCELLI ANDREA & SEGARA HELENE,VIVO PER LEI,no id
1998,7,JACKSON JANET,TOGETHER AGAIN,no id
1998,8,MARTIN RICKY,LA COPA DE LA VIDA,no id
1998,9,MENELIK,BYE BYE,no id
1998,10,COUMBA,PATA PATA,no id
1998,11,DES REE,LIFE,no id
1998,12,MODERN TALKING,YOU'RE MY HEART YOU'RE MY SOUL,no id
1998,13,LAAM,CHANTER POUR CEUX QUI SONT LOIN DE CHEZ EUX,no id
1998,14,HERMES HOUSE BAND,I WILL SURVIVE,no id
1998,15,MADONNA,FROZEN,no id
1998,16,BUGSY STOMY,MON PAPA A MOI EST UN GANGSTER,no id
1998,17,SEBASTIEN PATRICK,LA FIESTA,no id
1998,18,IMBRUGLIA NATALIE,TORN,no id
1998,19,SOAP,THIS IS HOW WE PARTY,no id
1998,20,TARKAN,SIMARIK,no id
1998,21,SAVAGE GARDEN,"TRULY, MADLY, DEEPLY",no id
1998,22,ATTAQUE LOUISE,TON INVITATION,no id
1998,23,FABIAN LARA,SI TU M'AIMES,no id
1998,24,CHER,BELIEVE,no id
1998,25,SWEETBOX,EVERYTHING'S GONNA BE ALRIGHT,no id
1998,26,THEO ALLAN,EMMENE MOI,no id
1998,27,HAVANA DELIRIO,CARNAVALERA,no id
1998,28,AQUA,MY OH MY,no id
1998,29,666,ALARMA,no id
1998,30,STARDUST,MUSIC SOUNDS BETTER WITH YOU,no id
1998,31,FABIAN LARA,JE T'AIME,no id
1998,32,CARDONE NATHALIE,HASTA SIEMPRE,no id
1998,33,AQUA,BARBIE GIRL,no id
1998,34,MODERN TALKING,BROTHER LOUIE 98,no id
1998,35,CAREY MARIAH,MY ALL,no id
1998,36,PAGNY FLORENT,SAVOIR AIMER,no id
1998,37,RAMAZZOTTI EROS & TURNER TINA,COSE DELLA VITA CAN'T STOP ...,no id
1998,38,VALENTINO SANDY,POURQUOI ?,no id
1998,39,ARENA TINA,I WANT TO SPEND MY LIFETIME,no id
1998,40,666,AMOKK,no id
1998,41,POETIC LOVER & FREDERICK CAROLE,PERSONNE NE SAURAIT,no id
1998,42,THE TAMPERER,FEEL IT,no id
1998,43,WILLIAMS ROBBIE,ANGELS,no id
1998,44,FAUDEL,TELLEMENT N'BRICK,no id
1998,45,ULTIMATE KAOS,CASANOVA,no id
1998,46,DA HOOL,MEET HER AT THE LOVE PARADE,no id
1998,47,PUFF DADDY,COME WITH ME,no id
1998,48,THEO ALLAN,LOLA,no id
1998,49,JESSY,LA OLA TOUT LE MONDE SE LEVE,no id
1998,50,RED AXELLE,RESTER FEMME,no id
1998,51,CHERRY EAGLE EYE,SAVE TONIGHT,no id
1998,52,CUBAILA,CHARANGA,no id
1998,53,ALL SAINTS,NEVER EVER,no id
1998,54,THALIA,AMOR A LA MEXICANA,no id
1998,55,LES FINALISTES,1 ET 2 ET 3 - 0,no id
1998,56,PRAS MICHEL,GHETTO SUPASTAR,no id
1998,57,MERCURY DANIELA,RAPUNZEL,no id
1998,58,AEROSMITH,I DON'T WANT TO MISS A THING,no id
